,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
96,0,9,3,0,0,0.00,7,caught,2,v South Africa,Cape Town,2 Jan 2011
97,DNB,-,-,-,-,-,-,-,4,v South Africa,Cape Town,2 Jan 2011
98,0,9,2,0,0,0.00,7,caught,1,v West Indies,Kingston,20 Jun 2011
99,16,15,16,1,1,100.00,7,caught,3,v West Indies,Kingston,20 Jun 2011
100,2,17,13,0,0,15.38,7,caught,1,v West Indies,Bridgetown,28 Jun 2011
101,5,14,14,0,0,35.71,7,caught,3,v West Indies,Bridgetown,28 Jun 2011
102,74,208,133,4,0,55.63,7,caught,2,v West Indies,Roseau,6 Jul 2011
103,DNB,-,-,-,-,-,-,-,4,v West Indies,Roseau,6 Jul 2011
104,28,102,103,2,0,27.18,7,caught,2,v England,Lord's,21 Jul 2011
105,16,77,49,2,0,32.65,7,caught,4,v England,Lord's,21 Jul 2011
106,5,8,9,1,0,55.55,7,caught,2,v England,Nottingham,29 Jul 2011
107,0,1,1,0,0,0.00,7,lbw,4,v England,Nottingham,29 Jul 2011
108,77,119,96,10,3,80.20,7,caught,1,v England,Birmingham,10 Aug 2011
109,74*,121,79,13,0,93.67,7,not out,3,v England,Birmingham,10 Aug 2011
110,17,52,50,2,0,34.00,7,caught,2,v England,The Oval,18 Aug 2011
111,3,34,19,0,0,15.78,7,caught,3,v England,The Oval,18 Aug 2011
112,0,3,4,0,0,0.00,7,bowled,2,v West Indies,Delhi,6 Nov 2011
113,0*,5,4,0,0,0.00,7,not out,4,v West Indies,Delhi,6 Nov 2011
114,144,181,175,10,5,82.28,8,caught,1,v West Indies,Kolkata,14 Nov 2011
115,8,30,21,1,0,38.09,7,bowled,2,v West Indies,Mumbai,22 Nov 2011
116,13,45,37,1,0,35.13,7,caught,4,v West Indies,Mumbai,22 Nov 2011
117,6,13,8,0,0,75.00,8,caught,2,v Australia,Melbourne,26 Dec 2011
118,23,88,44,0,1,52.27,7,bowled,4,v Australia,Melbourne,26 Dec 2011
119,57*,101,77,8,0,74.02,7,not out,1,v Australia,Sydney,3 Jan 2012
120,2,11,11,0,0,18.18,7,caught,3,v Australia,Sydney,3 Jan 2012
121,12,30,22,2,0,54.54,7,caught,1,v Australia,Perth,13 Jan 2012
122,2,20,16,0,0,12.50,7,caught,3,v Australia,Perth,13 Jan 2012
123,73,210,147,6,1,49.65,7,caught,1,v New Zealand,Hyderabad (Deccan),23 Aug 2012
124,62,170,94,8,2,65.95,7,lbw,2,v New Zealand,Bengaluru,31 Aug 2012
125,48*,94,60,3,2,80.00,7,not out,4,v New Zealand,Bengaluru,31 Aug 2012
126,5,38,37,0,0,13.51,7,bowled,1,v England,Ahmedabad,15 Nov 2012
127,DNB,-,-,-,-,-,-,-,4,v England,Ahmedabad,15 Nov 2012
128,29,86,64,4,0,45.31,7,caught,1,v England,Mumbai,23 Nov 2012
129,6,15,17,0,0,35.29,7,caught,3,v England,Mumbai,23 Nov 2012
130,52,158,114,5,2,45.61,7,caught,1,v England,Kolkata,5 Dec 2012
131,0,5,3,0,0,0.00,7,caught,3,v England,Kolkata,5 Dec 2012
132,99,398,246,8,1,40.24,6,run out,2,v England,Nagpur,13 Dec 2012
133,224,365,265,24,6,84.52,6,caught,2,v Australia,Chennai,22 Feb 2013
134,DNB,-,-,-,-,-,-,-,4,v Australia,Chennai,22 Feb 2013
135,44,61,43,8,0,102.32,6,caught,2,v Australia,Hyderabad (Deccan),2 Mar 2013
136,4,2,3,1,0,133.33,6,lbw,2,v Australia,Mohali,14 Mar 2013
137,18*,37,28,3,0,64.28,5,not out,4,v Australia,Mohali,14 Mar 2013
138,24,41,23,2,0,104.34,6,caught,2,v Australia,Delhi,22 Mar 2013
139,12*,20,14,2,0,85.71,6,not out,4,v Australia,Delhi,22 Mar 2013
140,42,77,63,5,0,66.66,7,caught,2,v West Indies,Kolkata,6 Nov 2013
141,4,15,10,0,0,40.00,7,caught,2,v West Indies,Mumbai,14 Nov 2013
142,19,104,72,3,0,26.38,7,caught,1,v South Africa,Johannesburg,18 Dec 2013
143,29,65,44,3,0,65.90,7,caught,3,v South Africa,Johannesburg,18 Dec 2013
144,24,57,40,3,0,60.00,7,caught,1,v South Africa,Durban,26 Dec 2013
145,15,47,29,2,0,51.72,7,caught,3,v South Africa,Durban,26 Dec 2013
146,10,44,28,1,0,35.71,7,caught,2,v New Zealand,Auckland,6 Feb 2014
147,39,81,41,6,0,95.12,7,bowled,4,v New Zealand,Auckland,6 Feb 2014
148,68,112,86,9,1,79.06,8,caught,2,v New Zealand,Wellington,14 Feb 2014
149,DNB,-,-,-,-,-,-,-,4,v New Zealand,Wellington,14 Feb 2014
150,82,267,152,7,0,53.94,6,run out,1,v England,Nottingham,9 Jul 2014
151,11,53,30,2,0,36.66,6,bowled,3,v England,Nottingham,9 Jul 2014
152,1,23,17,0,0,5.88,6,caught,1,v England,Lord's,17 Jul 2014
153,19,124,86,2,0,22.09,6,caught,3,v England,Lord's,17 Jul 2014
154,50,168,113,5,1,44.24,7,caught,2,v England,Southampton,27 Jul 2014
155,6,16,11,1,0,54.54,7,caught,4,v England,Southampton,27 Jul 2014
156,71,200,133,15,0,53.38,6,caught,1,v England,Manchester,7 Aug 2014
157,27,44,22,4,0,122.72,6,caught,3,v England,Manchester,7 Aug 2014
158,82,212,140,15,1,58.57,6,caught,1,v England,The Oval,15 Aug 2014
159,0,6,5,0,0,0.00,6,caught,3,v England,The Oval,15 Aug 2014
160,33,96,53,4,0,62.26,7,caught,1,v Australia,Brisbane,17 Dec 2014
161,0,4,2,0,0,0.00,7,lbw,3,v Australia,Brisbane,17 Dec 2014
162,11,28,23,1,0,47.82,7,caught,2,v Australia,Melbourne,26 Dec 2014
163,24*,68,39,4,0,61.53,7,not out,4,v Australia,Melbourne,26 Dec 2014
